Tarih,TP_PKAUO_S01_B_U
2017-02-01,0.76
2017-03-01,0.91
2017-04-01,0.6
2017-05-01,0.22
2017-06-01,0.25
2017-07-01,0.21
2017-08-01,0.57
2017-09-01,1.22
2017-10-01,0.6
2017-11-01,0.43
2017-12-01,1.29
2018-01-01,0.62
2018-02-01,0.84
2018-03-01,1.03
2018-04-01,0.76
2018-05-01,0.49
2018-06-01,0.69
2018-07-01,0.59
2018-08-01,1.25
2018-09-01,2.05
2018-10-01,1.31
2018-11-01,0.77
2018-12-01,1.56
2019-01-01,0.94
2019-02-01,0.96
2019-03-01,1.54
2019-04-01,1.12
2019-05-01,1.1
2019-06-01,0.94
2019-07-01,0.85
2019-08-01,1.46
2019-09-01,1.93
2019-10-01,1.13
2019-11-01,0.72
2019-12-01,1.16
2020-01-01,0.64
2020-02-01,0.84
2020-03-01,0.97
2020-04-01,0.7
2020-05-01,0.45
2020-06-01,0.47
2020-07-01,0.53
2020-08-01,0.92
2020-09-01,1.46
2020-10-01,0.75
2020-11-01,0.74
2020-12-01,1.29
2021-01-01,0.69
2021-02-01,0.86
2021-03-01,1.12
2021-04-01,1.05
2021-05-01,0.82
2021-06-01,0.75
2021-07-01,0.85
2021-08-01,1.17
2021-09-01,1.65
2021-10-01,1.18
2021-11-01,1.32
2021-12-01,2.99
2022-01-01,3.04
2022-02-01,2.81
2022-03-01,3.29
2022-04-01,2.86
2022-05-01,2.97
2022-06-01,2.98
2022-07-01,2.88
2022-08-01,3.28
2022-09-01,2.94
2022-10-01,3.05
2022-11-01,3.16
2022-12-01,3.39
2023-01-01,2.24
2023-02-01,2.7
2023-03-01,2.89
2023-04-01,2.46
2023-05-01,2.49
2023-06-01,2.51
2023-07-01,3.1
2023-08-01,4.34
2023-09-01,4.42
2023-10-01,3.92
2023-11-01,3.57
2023-12-01,4.86
2024-01-01,3.51
2024-02-01,3.17
2024-03-01,3.42
2024-04-01,3.0
2024-05-01,2.56
2024-06-01,2.41
2024-07-01,2.17
2024-08-01,2.22
2024-09-01,2.24
2024-10-01,1.96
2024-11-01,1.67
2024-12-01,4.0
2025-01-01,2.65
2025-02-01,2.26
2025-03-01,2.25
2025-04-01,2.2
2025-05-01,1.77
2025-06-01,1.86
2025-07-01,1.63
2025-08-01,1.97
2025-09-01,2.05
2025-10-01,1.55
