Tarih,TP_IYA_CNDU2_S19_X
2015-06-01,568.0
2015-07-01,559.0
2015-08-01,557.0
2015-09-01,569.0
2015-10-01,557.0
2015-11-01,560.0
2015-12-01,566.0
2016-01-01,537.0
2016-02-01,548.0
2016-03-01,554.0
2016-04-01,556.0
2016-05-01,554.0
2016-06-01,542.0
2016-07-01,541.0
2016-08-01,546.0
2016-09-01,543.0
2016-10-01,539.0
2016-11-01,537.0
2016-12-01,542.0
2017-01-01,546.0
2017-02-01,542.0
2017-03-01,544.0
2017-04-01,514.0
2017-05-01,533.0
2017-06-01,539.0
2017-07-01,533.0
2017-08-01,529.0
2017-09-01,530.0
2017-10-01,531.0
2017-11-01,531.0
2017-12-01,526.0
2018-01-01,522.0
2018-02-01,529.0
2018-03-01,530.0
2018-04-01,526.0
2018-05-01,540.0
2018-06-01,530.0
2018-07-01,525.0
2018-08-01,515.0
2018-09-01,525.0
2018-10-01,529.0
2018-11-01,526.0
2018-12-01,527.0
2019-01-01,442.0
2019-02-01,434.0
2019-03-01,429.0
2019-04-01,422.0
2019-05-01,427.0
2019-06-01,431.0
2019-07-01,424.0
2019-08-01,438.0
2019-09-01,438.0
2019-10-01,434.0
2019-11-01,432.0
2019-12-01,436.0
2020-01-01,422.0
2020-02-01,436.0
2020-03-01,441.0
2020-04-01,404.0
2020-05-01,420.0
2020-06-01,417.0
2020-07-01,413.0
2020-08-01,429.0
2020-09-01,422.0
2020-10-01,414.0
2020-11-01,415.0
2020-12-01,420.0
2021-01-01,412.0
2021-02-01,428.0
2021-03-01,431.0
2021-04-01,416.0
2021-05-01,423.0
2021-06-01,424.0
2021-07-01,405.0
2021-08-01,426.0
2021-09-01,429.0
2021-10-01,425.0
2021-11-01,418.0
2021-12-01,429.0
2022-01-01,415.0
2022-02-01,407.0
2022-03-01,426.0
2022-04-01,414.0
2022-05-01,432.0
2022-06-01,442.0
2022-07-01,420.0
2022-08-01,432.0
2022-09-01,438.0
2022-10-01,425.0
2022-11-01,423.0
2022-12-01,429.0
2023-01-01,435.0
2023-02-01,413.0
2023-03-01,425.0
2023-04-01,422.0
2023-05-01,451.0
2023-06-01,451.0
2023-07-01,448.0
2023-08-01,444.0
2023-09-01,453.0
2023-10-01,436.0
2023-11-01,445.0
2023-12-01,438.0
2024-01-01,433.0
2024-02-01,438.0
2024-03-01,438.0
2024-04-01,432.0
2024-05-01,456.0
2024-06-01,444.0
2024-07-01,453.0
2024-08-01,450.0
2024-09-01,441.0
2024-10-01,457.0
2024-11-01,444.0
2024-12-01,438.0
2025-01-01,426.0
2025-02-01,439.0
2025-03-01,431.0
2025-04-01,424.0
2025-05-01,444.0
2025-06-01,445.0
2025-07-01,437.0
2025-08-01,438.0
2025-09-01,444.0
