Tarih,TP_IYA_CONS2_S07_X
2015-06-01,703.0
2015-07-01,693.0
2015-08-01,691.0
2015-09-01,706.0
2015-10-01,686.0
2015-11-01,687.0
2015-12-01,693.0
2016-01-01,661.0
2016-02-01,673.0
2016-03-01,677.0
2016-04-01,679.0
2016-05-01,678.0
2016-06-01,671.0
2016-07-01,648.0
2016-08-01,665.0
2016-09-01,665.0
2016-10-01,657.0
2016-11-01,663.0
2016-12-01,663.0
2017-01-01,660.0
2017-02-01,652.0
2017-03-01,657.0
2017-04-01,634.0
2017-05-01,649.0
2017-06-01,645.0
2017-07-01,645.0
2017-08-01,635.0
2017-09-01,642.0
2017-10-01,641.0
2017-11-01,634.0
2017-12-01,642.0
2018-01-01,632.0
2018-02-01,642.0
2018-03-01,646.0
2018-04-01,634.0
2018-05-01,649.0
2018-06-01,630.0
2018-07-01,626.0
2018-08-01,626.0
2018-09-01,630.0
2018-10-01,631.0
2018-11-01,625.0
2018-12-01,636.0
2019-01-01,514.0
2019-02-01,518.0
2019-03-01,506.0
2019-04-01,506.0
2019-05-01,501.0
2019-06-01,510.0
2019-07-01,508.0
2019-08-01,524.0
2019-09-01,519.0
2019-10-01,515.0
2019-11-01,515.0
2019-12-01,523.0
2020-01-01,513.0
2020-02-01,521.0
2020-03-01,525.0
2020-04-01,470.0
2020-05-01,491.0
2020-06-01,483.0
2020-07-01,484.0
2020-08-01,502.0
2020-09-01,493.0
2020-10-01,487.0
2020-11-01,494.0
2020-12-01,488.0
2021-01-01,487.0
2021-02-01,499.0
2021-03-01,506.0
2021-04-01,494.0
2021-05-01,504.0
2021-06-01,503.0
2021-07-01,491.0
2021-08-01,509.0
2021-09-01,518.0
2021-10-01,507.0
2021-11-01,501.0
2021-12-01,510.0
2022-01-01,493.0
2022-02-01,494.0
2022-03-01,506.0
2022-04-01,499.0
2022-05-01,516.0
2022-06-01,524.0
2022-07-01,502.0
2022-08-01,512.0
2022-09-01,525.0
2022-10-01,495.0
2022-11-01,503.0
2022-12-01,513.0
2023-01-01,514.0
2023-02-01,498.0
2023-03-01,504.0
2023-04-01,495.0
2023-05-01,523.0
2023-06-01,531.0
2023-07-01,526.0
2023-08-01,526.0
2023-09-01,529.0
2023-10-01,508.0
2023-11-01,530.0
2023-12-01,525.0
2024-01-01,519.0
2024-02-01,513.0
2024-03-01,515.0
2024-04-01,507.0
2024-05-01,539.0
2024-06-01,531.0
2024-07-01,534.0
2024-08-01,536.0
2024-09-01,536.0
2024-10-01,546.0
2024-11-01,530.0
2024-12-01,534.0
2025-01-01,509.0
2025-02-01,529.0
2025-03-01,517.0
2025-04-01,515.0
2025-05-01,534.0
2025-06-01,538.0
2025-07-01,524.0
2025-08-01,536.0
2025-09-01,532.0
