Tarih,TP_IYA_INVE2_S18_X
2015-06-01,382.0
2015-07-01,371.0
2015-08-01,369.0
2015-09-01,361.0
2015-10-01,369.0
2015-11-01,366.0
2015-12-01,358.0
2016-01-01,358.0
2016-02-01,364.0
2016-03-01,366.0
2016-04-01,360.0
2016-05-01,370.0
2016-06-01,368.0
2016-07-01,372.0
2016-08-01,377.0
2016-09-01,360.0
2016-10-01,368.0
2016-11-01,376.0
2016-12-01,367.0
2017-01-01,368.0
2017-02-01,378.0
2017-03-01,373.0
2017-04-01,356.0
2017-05-01,383.0
2017-06-01,383.0
2017-07-01,382.0
2017-08-01,371.0
2017-09-01,378.0
2017-10-01,377.0
2017-11-01,370.0
2017-12-01,372.0
2018-01-01,371.0
2018-02-01,369.0
2018-03-01,379.0
2018-04-01,376.0
2018-05-01,372.0
2018-06-01,363.0
2018-07-01,367.0
2018-08-01,365.0
2018-09-01,365.0
2018-10-01,367.0
2018-11-01,364.0
2018-12-01,359.0
2019-01-01,320.0
2019-02-01,320.0
2019-03-01,318.0
2019-04-01,322.0
2019-05-01,318.0
2019-06-01,317.0
2019-07-01,323.0
2019-08-01,330.0
2019-09-01,327.0
2019-10-01,333.0
2019-11-01,332.0
2019-12-01,334.0
2020-01-01,333.0
2020-02-01,335.0
2020-03-01,335.0
2020-04-01,326.0
2020-05-01,320.0
2020-06-01,321.0
2020-07-01,328.0
2020-08-01,321.0
2020-09-01,323.0
2020-10-01,322.0
2020-11-01,315.0
2020-12-01,320.0
2021-01-01,314.0
2021-02-01,316.0
2021-03-01,333.0
2021-04-01,316.0
2021-05-01,318.0
2021-06-01,320.0
2021-07-01,313.0
2021-08-01,313.0
2021-09-01,326.0
2021-10-01,313.0
2021-11-01,320.0
2021-12-01,320.0
2022-01-01,314.0
2022-02-01,313.0
2022-03-01,321.0
2022-04-01,309.0
2022-05-01,305.0
2022-06-01,315.0
2022-07-01,307.0
2022-08-01,313.0
2022-09-01,313.0
2022-10-01,305.0
2022-11-01,314.0
2022-12-01,307.0
2023-01-01,306.0
2023-02-01,305.0
2023-03-01,314.0
2023-04-01,307.0
2023-05-01,315.0
2023-06-01,312.0
2023-07-01,312.0
2023-08-01,304.0
2023-09-01,302.0
2023-10-01,304.0
2023-11-01,308.0
2023-12-01,303.0
2024-01-01,304.0
2024-02-01,303.0
2024-03-01,307.0
2024-04-01,306.0
2024-05-01,332.0
2024-06-01,326.0
2024-07-01,330.0
2024-08-01,329.0
2024-09-01,336.0
2024-10-01,331.0
2024-11-01,334.0
2024-12-01,328.0
2025-01-01,337.0
2025-02-01,329.0
2025-03-01,339.0
2025-04-01,327.0
2025-05-01,360.0
2025-06-01,359.0
2025-07-01,359.0
2025-08-01,357.0
2025-09-01,356.0
